CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,row_num
788,16.581535,0.125,200.0,0.0,200.0,0.0,0.125,0.0,0.125,0.0,0,2,1200.0,0.0,,0.0,8,1
2322,1.979916,0.125,80.0,80.0,0.0,0.0,0.125,0.125,0.0,0.0,0,1,1500.0,0.0,,0.0,8,3
3426,461.45572,1.0,585.0,585.0,0.0,0.0,0.125,0.125,0.0,0.0,0,1,1000.0,258.03263,151.696433,0.0,8,5
4266,2237.238086,1.0,120.0,120.0,0.0,0.0,0.125,0.125,0.0,0.0,0,1,2500.0,343.102984,712.986387,0.0,8,7
4680,424.994385,0.375,1200.0,1200.0,0.0,0.0,0.125,0.125,0.0,0.0,0,1,1200.0,57.266292,56.72021,0.0,8,9
5884,18.885677,0.375,57.0,57.0,0.0,0.0,0.125,0.125,0.0,0.0,0,1,1500.0,0.0,,0.0,8,11
6291,264.566591,0.375,1150.0,1150.0,0.0,0.0,0.125,0.125,0.0,0.0,0,1,1200.0,3029.380326,85.428885,0.0,8,13
8299,611.561026,1.0,765.0,765.0,0.0,0.0,0.125,0.125,0.0,0.0,0,1,2000.0,204.464151,146.352314,0.0,8,15
8805,105.333584,0.375,306.0,306.0,0.0,0.0,0.125,0.125,0.0,0.0,0,2,6000.0,101.986927,118.324082,0.0,8,17
24,0.004816,0.545455,51.7,0.0,51.7,0.0,0.25,0.0,0.25,0.0,0,3,3000.0,33.249088,0.059481,0.0,12,19
131,63.078242,1.0,114.0,0.0,114.0,0.0,0.25,0.0,0.25,0.0,0,3,3000.0,184.582486,136.782541,0.0,12,21
187,13.44199,0.454545,56.51,0.0,56.51,0.0,0.25,0.0,0.25,0.0,0,3,1000.0,190.431651,153.286406,0.166667,12,23
206,857.767403,1.0,639.56,0.0,639.56,0.0,0.25,0.0,0.25,0.0,0,4,2200.0,210.272469,254.976679,0.0,12,25
374,5850.1729,1.0,393.87,0.0,393.87,0.0,0.25,0.0,0.25,0.0,0,8,6000.0,1536.774213,2668.340809,0.0,12,27
422,64.080909,0.454545,927.0,600.0,327.0,0.0,0.25,0.083333,0.166667,0.0,0,4,5000.0,1260.16384,59.04439,0.222222,12,29
540,10.286805,0.363636,60.0,0.0,60.0,0.0,0.25,0.0,0.25,0.0,0,3,1000.0,194.460801,141.594889,0.25,12,31
593,61.268046,0.454545,491.11,171.11,320.0,0.0,0.25,0.083333,0.166667,0.0,0,5,5000.0,702.302424,135.813519,0.0,12,33
611,2.911999,1.0,347.55,0.0,347.55,0.0,0.25,0.0,0.25,0.0,0,3,5000.0,386.639613,11.802831,0.0,12,35
661,339.183041,1.0,139.5,139.5,0.0,0.0,0.25,0.25,0.0,0.0,0,3,1200.0,877.494612,167.323383,0.090909,12,37
703,44.539341,0.363636,94.3,71.8,22.5,0.0,0.25,0.083333,0.25,0.0,0,4,2500.0,940.026302,147.851745,0.0,12,39
883,1464.324632,1.0,1174.39,1174.39,0.0,0.0,0.25,0.25,0.0,0.0,0,8,9000.0,0.0,,0.0,12,41
949,621.901025,1.0,573.36,455.0,118.36,0.0,0.25,0.083333,0.166667,0.0,0,4,1100.0,875.900693,229.727141,0.0,12,43
